26.9476 	EXP 	grating: autoDraw = True
26.9641 	EXP 	fixation: autoDraw = False
27.2475 	EXP 	grating: autoDraw = False
27.5824 	DATA 	Keypress: left
27.5973 	EXP 	fixation: autoDraw = False
27.5973 	EXP 	grating: autoDraw = False
27.5973 	EXP 	grating: ori = -9.5
27.5973 	EXP 	fixation: autoDraw = True
28.0811 	INFO 	Keyboard events cleared
28.0808 	EXP 	grating: autoDraw = True
28.0975 	EXP 	fixation: autoDraw = False
28.3806 	EXP 	grating: autoDraw = False
28.4657 	DATA 	Keypress: left
28.4808 	EXP 	fixation: autoDraw = False
28.4808 	EXP 	grating: autoDraw = False
28.4808 	EXP 	grating: ori = -9.5
28.4808 	EXP 	fixation: autoDraw = True
28.9665 	INFO 	Keyboard events cleared
28.9657 	EXP 	grating: autoDraw = True
28.9827 	EXP 	fixation: autoDraw = False
29.2504 	DATA 	Keypress: right
29.2646 	EXP 	fixation: autoDraw = False
29.2646 	EXP 	grating: autoDraw = False
29.2646 	EXP 	grating: ori = 10.0
29.2646 	EXP 	fixation: autoDraw = True
29.7644 	INFO 	Keyboard events cleared
29.7640 	EXP 	fixation: autoDraw = False
29.7640 	EXP 	grating: autoDraw = True
30.0640 	EXP 	grating: autoDraw = False
30.1157 	DATA 	Keypress: left
30.1306 	EXP 	fixation: autoDraw = False
30.1306 	EXP 	grating: autoDraw = False
30.1306 	EXP 	grating: ori = -10.5
30.1306 	EXP 	fixation: autoDraw = True
30.6309 	INFO 	Keyboard events cleared
30.6306 	EXP 	fixation: autoDraw = False
30.6306 	EXP 	grating: autoDraw = True
30.9305 	EXP 	grating: autoDraw = False
30.9989 	DATA 	Keypress: left
31.0139 	EXP 	fixation: autoDraw = False
31.0139 	EXP 	grating: autoDraw = False
31.0139 	EXP 	grating: ori = -10.5
31.0139 	EXP 	fixation: autoDraw = True
31.4975 	INFO 	Keyboard events cleared
31.4972 	EXP 	grating: autoDraw = True
31.5138 	EXP 	fixation: autoDraw = False
31.7971 	EXP 	grating: autoDraw = False
31.9155 	DATA 	Keypress: left
31.9304 	EXP 	fixation: autoDraw = False
31.9304 	EXP 	grating: autoDraw = False
31.9304 	EXP 	grating: ori = -10.5
31.9304 	EXP 	fixation: autoDraw = True
32.4309 	INFO 	Keyboard events cleared
32.4305 	EXP 	fixation: autoDraw = False
32.4305 	EXP 	grating: autoDraw = True
32.7304 	EXP 	grating: autoDraw = False
32.8654 	DATA 	Keypress: left
32.8804 	EXP 	fixation: autoDraw = False
32.8804 	EXP 	grating: autoDraw = False
32.8804 	EXP 	grating: ori = -10.0
32.8804 	EXP 	fixation: autoDraw = True
33.3641 	INFO 	Keyboard events cleared
33.3638 	EXP 	grating: autoDraw = True
33.3804 	EXP 	fixation: autoDraw = False
33.6636 	EXP 	grating: autoDraw = False
33.7987 	DATA 	Keypress: left
33.8138 	EXP 	fixation: autoDraw = False
33.8138 	EXP 	grating: autoDraw = False
33.8138 	EXP 	grating: ori = 10.0
33.8138 	EXP 	fixation: autoDraw = True
34.2974 	INFO 	Keyboard events cleared
34.2971 	EXP 	grating: autoDraw = True
34.3138 	EXP 	fixation: autoDraw = False
34.5979 	EXP 	grating: autoDraw = False
34.7332 	DATA 	Keypress: right
34.7645 	EXP 	fixation: autoDraw = False
34.7645 	EXP 	grating: autoDraw = False
34.7645 	EXP 	grating: ori = -10.0
34.7645 	EXP 	fixation: autoDraw = True
35.2640 	INFO 	Keyboard events cleared
35.2637 	EXP 	fixation: autoDraw = False
35.2637 	EXP 	grating: autoDraw = True
35.5636 	EXP 	grating: autoDraw = False
35.6154 	DATA 	Keypress: left
35.6302 	EXP 	fixation: autoDraw = False
35.6302 	EXP 	grating: autoDraw = False
35.6302 	EXP 	grating: ori = 9.5
35.6302 	EXP 	fixation: autoDraw = True
36.1140 	INFO 	Keyboard events cleared
36.1137 	EXP 	grating: autoDraw = True
36.1303 	EXP 	fixation: autoDraw = False
36.3820 	DATA 	Keypress: right
36.3969 	EXP 	fixation: autoDraw = False
36.3969 	EXP 	grating: autoDraw = False
36.3969 	EXP 	grating: ori = 9.5
36.3969 	EXP 	fixation: autoDraw = True
36.8972 	INFO 	Keyboard events cleared
36.8969 	EXP 	fixation: autoDraw = False
36.8969 	EXP 	grating: autoDraw = True
37.0654 	DATA 	Keypress: left
37.0802 	EXP 	fixation: autoDraw = False
37.0802 	EXP 	grating: autoDraw = False
37.0802 	EXP 	grating: ori = 10.0
37.0802 	EXP 	fixation: autoDraw = True
37.5806 	INFO 	Keyboard events cleared
37.5802 	EXP 	fixation: autoDraw = False
37.5802 	EXP 	grating: autoDraw = True
37.8801 	EXP 	grating: autoDraw = False
38.1985 	DATA 	Keypress: right
38.2135 	EXP 	fixation: autoDraw = False
38.2135 	EXP 	grating: autoDraw = False
38.2135 	EXP 	grating: ori = 10.0
38.2135 	EXP 	fixation: autoDraw = True
38.6972 	INFO 	Keyboard events cleared
38.6969 	EXP 	grating: autoDraw = True
38.7135 	EXP 	fixation: autoDraw = False
38.9968 	EXP 	grating: autoDraw = False
39.0150 	DATA 	Keypress: left
39.0300 	EXP 	fixation: autoDraw = False
39.0300 	EXP 	grating: autoDraw = False
39.0300 	EXP 	grating: ori = -10.5
39.0300 	EXP 	fixation: autoDraw = True
39.5139 	INFO 	Keyboard events cleared
39.5136 	EXP 	grating: autoDraw = True
39.5301 	EXP 	fixation: autoDraw = False
39.8133 	EXP 	grating: autoDraw = False
39.8483 	DATA 	Keypress: left
39.8637 	EXP 	fixation: autoDraw = False
39.8637 	EXP 	grating: autoDraw = False
39.8637 	EXP 	grating: ori = 10.5
39.8637 	EXP 	fixation: autoDraw = True
40.3486 	INFO 	Keyboard events cleared
40.3479 	EXP 	grating: autoDraw = True
40.3646 	EXP 	fixation: autoDraw = False
40.6634 	EXP 	grating: autoDraw = False
40.8651 	DATA 	Keypress: right
40.8799 	EXP 	fixation: autoDraw = False
40.8799 	EXP 	grating: autoDraw = False
40.8799 	EXP 	grating: ori = 10.5
40.8799 	EXP 	fixation: autoDraw = True
41.3644 	INFO 	Keyboard events cleared
41.3640 	EXP 	grating: autoDraw = True
41.3810 	EXP 	fixation: autoDraw = False
41.6633 	EXP 	grating: autoDraw = False
41.6817 	DATA 	Keypress: right
41.6966 	EXP 	fixation: autoDraw = False
41.6966 	EXP 	grating: autoDraw = False
41.6966 	EXP 	grating: ori = 10.0
41.6966 	EXP 	fixation: autoDraw = True
42.1805 	INFO 	Keyboard events cleared
42.1801 	EXP 	grating: autoDraw = True
42.1969 	EXP 	fixation: autoDraw = False
42.4801 	EXP 	grating: autoDraw = False
42.5818 	DATA 	Keypress: right
42.5966 	EXP 	fixation: autoDraw = False
42.5966 	EXP 	grating: autoDraw = False
42.5966 	EXP 	grating: ori = -10.0
42.5966 	EXP 	fixation: autoDraw = True
43.0803 	INFO 	Keyboard events cleared
